ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,24.5,60,45,48,820.8,120,0,0
2,24.8,59,44,47,865,122,0,0
3,25.2,58,42,46,900,125,0,0
4,25.5,57,40,45,920,124,0,0
5,26.0,55,38,43,950,128,0,0
6,26.3,54,35,42,980,130,1,0
7,25.8,56,55,40,960,127,0,0
8,25.2,58,58,38,910,125,0,1
9,24.9,60,56,52,840,121,0,0
10,24.1,62,54,55,750,118,0,0
11,23.5,65,52,54,600,115,0,0
12,22.8,68,50,52,450,112,0,0
13,22.0,72,48,50,200,110,0,0
14,21.3,75,46,49,50,105,0,0
15,20.8,78,45,47,0,102,0,0
16,20.5,80,43,46,0,100,0,0
17,20.2,81,41,44,0,99,0,0
18,20.0,82,39,43,0,98,0,0
19,19.8,83,37,41,0,97,1,0
20,19.7,85,52,39,0,96,0,1
21,19.5,86,55,50,0,95,0,0
22,19.4,87,54,52,0,95,0,0
23,19.6,85,52,51,10,96,0,0
24,20.1,82,50,49,150,99,0,0
25,21.0,78,48,47,350,103,0,0
26,22.1,73,46,45,550,108,0,0
27,23.2,68,44,43,700,112,0,0
28,24.0,64,41,41,800,115,0,0
29,24.6,61,39,39,840,119,0,0
30,25.1,59,36,37,880,122,1,1
